isolate_key,country_clean,isolate_clean,n_segment_records,segments_present,has_L,has_M,has_S,complete_L,complete_M,complete_S,has_all_three_segments,has_complete_LMS,segment_pattern
Kenya | ACCESSION_DQ375400,Kenya,ACCESSION_DQ375400,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_DQ375402,Kenya,ACCESSION_DQ375402,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_DQ375427,Kenya,ACCESSION_DQ375427,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_DQ375431,Kenya,ACCESSION_DQ375431,1,L,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,L only
Kenya | ACCESSION_DQ380155,Kenya,ACCESSION_DQ380155,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_DQ380169,Kenya,ACCESSION_DQ380169,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_DQ380171,Kenya,ACCESSION_DQ380171,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_DQ380176,Kenya,ACCESSION_DQ380176,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_DQ380190,Kenya,ACCESSION_DQ380190,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_DQ380192,Kenya,ACCESSION_DQ380192,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_DQ380196,Kenya,ACCESSION_DQ380196,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_DQ380198,Kenya,ACCESSION_DQ380198,1,M,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EF467177,Kenya,ACCESSION_EF467177,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EF467178,Kenya,ACCESSION_EF467178,1,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M only
Kenya | ACCESSION_EU312103,Kenya,ACCESSION_EU312103,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312105,Kenya,ACCESSION_EU312105,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312118,Kenya,ACCESSION_EU312118,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
Kenya | ACCESSION_EU312119,Kenya,ACCESSION_EU312119,1,S,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,S only
